task,model_name,capacity_name,dataset_size,r_low,r_high,ratio
burgers_operator,deeponet,xlarge,5000,16,32,2.3905105920507834
burgers_operator,deeponet,xlarge,5000,32,64,1.2797231669622524
burgers_operator,deeponet,xlarge,5000,64,128,0.8084972632116554
burgers_operator,deeponet,xlarge,5000,96,192,0.860078916632836
burgers_operator,deeponet,xlarge,5000,128,256,0.8944589546897592
burgers_operator,deeponet,xlarge,5000,192,384,1.0232246391858275
burgers_operator,deeponet,xlarge,5000,256,512,1.0050828064079749
burgers_operator,fno,large,50,16,32,2.2442778934928898
burgers_operator,fno,large,50,32,64,0.841714805705888
burgers_operator,fno,large,50,64,128,0.7064212141234755
burgers_operator,fno,large,50,96,192,0.8129255691631398
burgers_operator,fno,large,50,128,256,0.9660929813712884
burgers_operator,fno,large,50,192,384,1.041014935499529
burgers_operator,fno,large,50,256,512,0.9941052258885119
burgers_operator,fno,large,100,16,32,2.6522076091717945
burgers_operator,fno,large,100,32,64,1.117754055492471
burgers_operator,fno,large,100,64,128,0.6013348251434755
burgers_operator,fno,large,100,96,192,0.62162555751115
burgers_operator,fno,large,100,128,256,0.842165708103102
burgers_operator,fno,large,100,192,384,1.074096437686734
burgers_operator,fno,large,100,256,512,0.9204435685525625
burgers_operator,fno,large,150,32,64,1.1936309793419662
burgers_operator,fno,large,150,64,128,0.5621302794102325
burgers_operator,fno,large,150,128,256,0.78092581039713
burgers_operator,fno,large,200,16,32,2.806777824296616
burgers_operator,fno,large,200,32,64,1.4081304970533863
burgers_operator,fno,large,200,64,128,0.5025597923070687
burgers_operator,fno,large,200,96,192,0.4509289737434749
burgers_operator,fno,large,200,128,256,0.7433400823828229
burgers_operator,fno,large,200,192,384,0.8419022424541017
burgers_operator,fno,large,200,256,512,0.9523963886005977
burgers_operator,fno,large,300,32,64,1.3717459598253696
burgers_operator,fno,large,300,64,128,0.41315505832561467
burgers_operator,fno,large,300,128,256,0.9554020029680098
